cik,fyear,status_label,3_current_assets,3_total_assets,3_cost_of_goods_sold,3_total_long_term_debt,3_depreciation_and_amortization,3_ebit,3_ebitda,3_gross_profit,3_inventory,3_total_current_liabilities,3_net_income,3_retained_earnings,3_total_receivables,3_total_revenue,3_market_value,3_total_liabilities,3_net_sales,3_total_operating_expenses,2_current_assets,2_total_assets,2_cost_of_goods_sold,2_total_long_term_debt,2_depreciation_and_amortization,2_ebit,2_ebitda,2_gross_profit,2_inventory,2_total_current_liabilities,2_net_income,2_retained_earnings,2_total_receivables,2_total_revenue,2_market_value,2_total_liabilities,2_net_sales,2_total_operating_expenses,1_current_assets,1_total_assets,1_cost_of_goods_sold,1_total_long_term_debt,1_depreciation_and_amortization,1_ebit,1_ebitda,1_gross_profit,1_inventory,1_total_current_liabilities,1_net_income,1_retained_earnings,1_total_receivables,1_total_revenue,1_market_value,1_total_liabilities,1_net_sales,1_total_operating_expenses
C1,2007,alive,581.502,1288.165,267.81,300.0,46.338,-5.522,40.816,454.615,125.963,198.375,-13.581,-95.949,130.246,722.425,882.4491,557.038,722.425,681.6089999999998,353.541,927.239,229.115,0.0,42.87300000000001,96.041,138.914,424.713,106.958,155.57299999999995,82.544,-89.73700000000002,107.847,653.828,1038.6859,203.24,653.828,514.914,1037.047,1623.3829999999994,150.257,0.017,67.10600000000001,95.995,163.101,403.36,92.741,665.257,133.769,-175.285,90.898,553.617,1541.7638,705.305,553.617,390.516
C2,2010,failed,6838.0,25088.0,18138.0,9253.0,995.0,308.0,1303.0,4032.0,594.0,8780.0,-471.0,-8362.0,738.0,22170.0,2597.5755,29033.0,22170.0,20867.0,6642.0,25438.0,16935.0,10583.0,1007.0,-745.0,262.0,2982.0,557.0,7728.0,-1468.0,-7860.0,768.0,19917.0,2571.1835,28927.0,19917.0,19655.0,5935.0,25175.0,20232.0,9001.0,1083.0,-573.0,510.0,3534.0,525.0,9374.0,-2071.0,-6638.0,811.0,23766.0,2976.3858,28110.0,23766.0,23256.0
C3,2006,alive,328.3540000000001,638.0219999999998,275.636,3.5580000000000003,30.469,47.473,77.942,276.21,133.42,119.215,26.959,95.273,120.296,551.846,878.4009,150.352,551.846,473.904,262.803,589.849,229.243,4.19,24.412,38.17,62.582,234.128,118.906,101.054,17.041,63.86600000000001,101.317,463.371,626.7576,145.869,463.371,400.789,327.48,551.391,207.283,5.505,21.856,40.255,62.111,206.818,94.617,89.615,12.147,49.192,97.031,414.101,1060.6898,124.294,414.101,351.99
C4,2010,alive,9.513,26.228,18.932,5.7,0.337,-2.714,-2.377,7.226,2.359,5.95,-2.319,3.603,4.005,26.158,8.5651,13.347,26.158,28.535,8.726,40.952,13.048,5.94,0.39,-4.269,-3.879,5.513999999999999,1.4240000000000002,5.195,-1.885,6.07,4.408,18.562,12.4988,25.762,18.562,22.441,10.602,43.645,10.115,19.221,0.821,-4.126,-3.305,6.341,1.063,3.571,-4.587,8.57,3.133,16.456,8.3439,26.106,16.456,19.761
C5,2001,alive,90.747,576.841,206.582,1.493,18.326,-26.051,-7.725,-7.725,0.0,324.738,45.535,173.273,42.607,198.857,616.49,353.836,198.857,206.582,97.295,667.307,205.457,385.439,15.448,3.659,19.107,19.107,0.0,82.18700000000003,148.9,127.738,60.742,224.564,315.171,491.327,224.564,205.457,103.896,528.436,242.423,403.761,14.181,21.584,35.765,35.765,0.0,82.19200000000002,6.59,-20.463,61.133,278.188,633.7406,501.147,278.188,242.423
C6,2012,alive,15.73,23.324,18.64,4.414,0.545,1.778,2.323,12.380999999999998,8.195,6.646,2.522,7.007999999999999,5.452999999999999,31.021,15.4674,11.284,31.021,28.698,17.553,23.035,20.732,4.2780000000000005,0.541,1.341,1.882,8.875,6.7929999999999975,9.307,0.392,4.4860000000000015,5.19,29.607,12.7426,13.62,29.607,27.725,18.259,23.678,20.179,4.985,0.502,1.871,2.373,9.439,7.362999999999999,9.763,0.625,4.093999999999999,4.6530000000000005,29.618,13.3839,14.843,29.618,27.245
C7,2007,alive,3.908,13.553,7.695,16.198,1.636,-4.1110000000000015,-2.475,6.9220000000000015,0.165,6.001,-11.813,-164.076,1.472,14.617,1.4015,22.199,14.617,17.092,3.15,22.07800000000001,7.495,13.896,1.652,-3.89,-2.238,7.949,0.2319999999999999,5.437,-7.58,-151.69899999999996,1.815,15.444,8.0137,19.333,15.444,17.682000000000006,3.735,28.847,6.676,12.941,1.411,-2.531,-1.12,7.414,0.247,6.334,-0.501,-144.034,2.045,14.09,3.3437,19.275,14.09,15.21
C8,2002,alive,646.811,1879.086,2729.591,370.091,188.356,63.987,252.343,614.145,36.223,403.381,14.843,538.55,170.507,3343.736,718.1131,1039.923,3343.736,3091.393,451.707,1746.844,2672.13,218.053,208.355,-22.431,185.924,538.9590000000002,38.413,470.73800000000006,-19.458,537.724,153.201,3211.0890000000004,713.8421,912.628,3211.0890000000004,3025.165,373.549,1745.919,2686.265,322.23,206.406,42.618,249.024,589.685,43.231,335.797,28.492,567.564,240.28,3275.95,468.3413,883.064,3275.95,3026.926
C9,2010,alive,804.1039999999997,1878.275,734.5010000000003,150.241,26.658,235.342,262.0,863.9630000000003,171.30599999999995,283.4240000000001,155.31,832.605,283.183,1598.464,3720.1965,551.035,1598.464,1336.464,865.628,1558.014,675.5369999999998,0.429,23.241,192.874,216.115,758.443,126.777,275.824,119.374,733.757,228.979,1433.98,2719.8922,356.592,1433.98,1217.865,880.38,1464.19,681.377,0.6829999999999999,22.498,168.52599999999995,191.024,762.079,149.512,282.0,228.154,665.355,244.316,1443.456,2665.7881,347.8590000000001,1443.456,1252.432
C10,2005,alive,4355.0,17871.0,27891.0,6278.0,1147.0,1238.0,2385.0,12467.0,3036.0,3880.0,446.0,5215.0,723.0,40358.0,9305.5,12164.0,40358.0,37973.0,4295.0,18311.0,27610.0,6649.0,1101.0,1518.0,2619.0,12287.0,3119.0,4085.0,444.0,4987.0,675.0,39897.0,8419.84,12890.0,39897.0,37278.0,4419.0,15394.0,24337.0,4804.0,969.0,1272.0,2241.0,11099.0,3035.0,3685.0,556.0,4858.0,683.0,35436.0,8596.48,10013.0,35436.0,33195.0
C11,2006,alive,7677.0,28939.0,17990.0,5476.0,1043.0,2913.0,3956.0,5651.0,3186.0,5979.0,1786.0,4058.0,4105.0,23641.0,17874.3227,17774.0,23641.0,19685.0,6438.0,26638.0,16129.0,5265.0,1080.0,1482.0,2562.0,4191.0,2734.0,5845.0,129.0,2651.0,3254.0,20320.0,15230.165,16927.0,20320.0,17758.0,9412.0,33341.0,20203.0,6345.0,1337.0,1494.0,2831.0,4682.0,4029.0,9256.0,258.0,3819.0,4168.0,24885.0,18141.3672,22379.0,24885.0,22054.0
C12,2002,alive,9.812,21.369,8.342,0.0,3.673,1.735,5.408,13.582,2.9810000000000003,1.3030000000000002,1.13,5.033,3.832,21.924,28.7775,1.877,21.924,16.516,9.019,21.865,8.817,0.0,2.742,2.588,5.33,13.172,2.476,3.37,1.781,3.903,2.849,21.989,58.41,3.491,21.989,16.659000000000002,8.161,19.003,6.979,0.0,1.939,2.213,4.152,10.979,2.4930000000000003,2.802,1.538,2.122,2.628,17.958,78.81,2.802,17.958,13.806
C13,2007,alive,1364.2879999999998,3278.081,2716.446,757.533,68.719,202.853,271.572,1451.898,287.503,681.523,114.487,1049.956,644.2959999999998,4168.344,1510.7745,1567.267,4168.344,3896.772,1379.5739999999994,3231.699,2713.101,657.5830000000002,73.37,189.93,263.3,1515.148,214.792,757.7,106.202,887.424,669.297,4228.249,1732.8058,1545.566,4228.249,3964.949,1727.914,3831.819,2745.0640000000008,953.463,80.563,169.12099999999995,249.68400000000003,1632.241,241.47,937.34,60.666,690.438,996.241,4377.305,1354.785,2261.475,4377.305,4127.621
C14,2010,alive,1515.6,12075.8,2652.6,4686.0,323.5,926.8,1250.3,1250.3,259.7,790.9,411.7,1243.3,408.0,3902.9,4120.1455,8634.1,3902.9,2652.6,1345.3,11589.1,2224.9,4417.0,282.1,919.8,1201.9,1201.9,317.0,985.6,392.8,932.8,355.0,3426.8,3981.5036,8461.0,3426.8,2224.9,1495.7220000000002,10811.048,2302.499,4155.432,273.91200000000003,809.505,1083.417,1083.417,243.345,1003.5,395.447,688.297,359.1690000000001,3385.916,5734.665,7955.394,3385.916,2302.499
C15,2004,alive,57.944,78.473,39.172,0.0,2.481,6.145,8.626,40.999,15.619000000000002,11.001,4.709,57.658,10.994000000000002,80.171,73.968,18.543,80.171,71.545,51.862,71.95,33.175,0.0,2.519,0.918,3.437,27.613000000000003,13.925999999999998,7.945,1.3969999999999998,54.182,11.652,60.788,48.24,15.585,60.788,57.351000000000006,52.573,73.363,39.162,0.0,2.802,3.107,5.909,28.57800000000001,16.224,11.021,2.685,53.807,12.184,67.74,42.4192,17.057000000000002,67.74,61.831
C16,2010,alive,219.067,1075.656,498.12,478.225,88.92399999999998,4.089,93.013,161.545,42.14,140.247,-39.512,-16.133,144.96,659.665,522.689,626.945,659.665,566.6519999999998,198.248,1080.62,379.437,475.206,82.99799999999998,-5.047,77.95100000000002,126.816,34.528,112.459,-21.19,25.927,105.059,506.253,269.0988,596.9730000000002,506.253,428.302,225.238,1111.058,446.235,579.044,67.672,102.254,169.926,229.713,39.087,142.15200000000004,-39.464,48.419,157.871,675.948,196.2125,727.6489999999999,675.948,506.022
C17,2006,alive,2032.1,18343.7,3519.735,2697.4,1239.9,1369.065,2608.965,4364.265,218.6,1197.3,1129.4,8000.3,807.3,7884.0,22045.3229,5676.0,7884.0,5275.035,4365.4,24013.1,4041.3,5782.9,1482.6,2167.6,3650.2,5445.7,232.6,2404.8,1331.4,7292.3,1077.2,9487.0,24205.5386,10992.1,9487.0,5836.8,1616.8,16603.7,3449.7,5352.4,1299.7,1972.5,3272.2,4796.4,156.8,1460.3,1046.2,6628.2,912.7,8246.1,17761.2677,9474.1,8246.1,4973.9
C18,2001,alive,11.02,29.126,11.788,0.6729999999999999,1.54,1.383,2.923,8.61,0.416,2.865,-1.938,6.182,4.669,20.398,16.4882,3.594,20.398,17.475,9.953,31.029,10.195,0.551,1.5590000000000002,1.43,2.989,8.543,0.3329999999999999,2.857,1.499,8.45,4.99,18.738,14.7252,3.508,18.738,15.749,6.968,28.68,8.867,0.288,1.382,1.716,3.0980000000000003,7.921,0.374,2.879,2.046,6.9510000000000005,4.69,16.788,15.7216,3.317,16.788,13.69
C19,2003,failed,70.018,230.324,349.167,175.18400000000003,24.162,13.271,37.433,74.753,19.004,54.886,-109.681,-119.894,39.979,423.92,13.3995,272.259,423.92,386.487,146.916,450.21,490.474,178.64700000000005,36.304,-6.134,30.17,85.686,51.983,136.408,-21.085,15.755,70.941,576.16,27.7856,358.865,576.16,545.99,151.428,458.69,449.608,170.296,33.902,-4.816,29.086,79.765,58.19300000000001,132.74,-37.131,41.5,64.408,529.373,71.618,343.17800000000005,529.373,500.287
C20,2012,alive,3582.0,9396.0,10974.0,4376.0,275.0,896.0,1171.0,2857.0,300.0,3303.0,637.0,-1346.0,298.0,13831.0,2193.7905,8606.0,13831.0,12660.0,3049.0,8335.0,10652.0,4130.0,262.0,452.0,714.0,2403.0,235.0,3160.0,71.0,-1974.0,327.0,13055.0,821.9332,8185.0,13055.0,12341.0,2909.0,7819.0,9257.0,4003.0,248.0,785.0,1033.0,2651.0,231.0,2840.0,502.0,-2033.0,311.0,11908.0,1620.3688,7735.0,11908.0,10875.0
C21,2013,alive,2890.1,8584.7,956.9,2024.5,126.5,667.6,794.1,1590.4,1843.3,706.6,362.5,6205.8,427.0,2547.3,11136.9981,3510.6,2547.3,1753.2,2863.4,8636.9,924.8,2024.9,119.1,631.9,751.0,1541.1,1736.9,1208.6,382.4,5953.7,455.7,2465.9,9781.7308,4024.8,2465.9,1714.9,2434.4,7491.8,861.2,1902.1,107.2,600.9,708.1,1403.6,1551.5,758.7,911.4,5588.5,385.8,2264.8,7988.755,3392.1,2264.8,1556.7
C22,2012,alive,661.9060000000002,1583.463,768.335,286.381,49.405,126.119,175.524,1104.385,242.447,368.596,49.918,1221.263,123.706,1872.72,517.9302,901.586,1872.72,1697.196,640.9590000000002,1549.464,702.42,225.181,39.225,168.981,208.206,992.724,208.945,305.081,57.198,1198.28,114.508,1695.144,552.81,822.0060000000003,1695.144,1486.938,715.7710000000003,1547.249,641.32,232.688,41.048,181.797,222.845,951.248,179.73,342.545,87.01799999999999,1183.509,123.202,1592.568,874.8116,783.4910000000001,1592.568,1369.723
C23,2008,alive,23481.34,44031.724,4997.748,10826.013,1007.574,6946.234,7953.808000000001,17836.16,2996.428,6850.4230000000025,4417.833,11246.42,3646.439,22833.908,49946.5905,24857.882,22833.908,14880.1,22983.598,42717.282,5150.654,11492.881,918.679,6349.028,7267.706999999998,17249.144,3035.358,7324.279,4615.96,10639.039,3528.009,22399.798,59116.7633,24506.74700000001,22399.798,15132.091,17514.241,36478.715,4655.612,9096.743,803.04,5370.348000000001,6173.388000000001,15695.043,2480.459,7221.848000000001,4196.706,8062.033,3383.341,20350.655,68500.13,21825.96,20350.655,14177.267
C24,2013,alive,5.415,8.956,10.796,0.98,0.852,-1.749,-0.897,3.83,2.739,5.646,-2.821,0.5870000000000001,2.097,14.626,3.2897,8.03,14.626,15.523,6.056,9.963,9.038,0.4,0.7440000000000001,-0.032,0.7120000000000001,4.638,2.672,4.463,-0.615,2.917,2.386,13.675999999999998,2.9016,6.9910000000000005,13.675999999999998,12.964,5.735,10.069,8.636000000000001,0.6,0.6709999999999999,0.03,0.701,4.75,2.846,3.649,0.037,3.724,1.755,13.386,2.52,6.3,13.386,12.685
C25,2010,alive,13.788,37.517,14.982,2.15,3.79,5.148,8.937999999999997,25.789,1.005,3.744,2.386,13.09,7.497999999999997,40.771,58.7598,7.8610000000000015,40.771,31.833,13.78,35.829,14.368,1.195,4.103,4.622,8.725,25.089,1.106,4.834,2.89,11.661,6.278,39.457,63.111,7.912000000000001,39.457,30.732,10.054,34.366,14.281,2.815,4.376,3.279,7.655,24.306,0.5479999999999999,4.168,1.44,9.722,6.022,38.587,45.33600000000001,8.815,38.587,30.932
C26,2013,alive,161.067,277.307,114.977,49.5,13.453,41.089,54.542,100.108,59.572,74.774,23.232,32.576,22.876,215.085,435.2872,165.97,215.085,160.543,114.057,246.46400000000003,106.172,65.00399999999999,13.7,28.798,42.49800000000001,81.169,44.157,44.442,25.31900000000001,-7.234,24.213,187.341,92.2004,178.13099999999997,187.341,144.843,128.047,268.65,136.84799999999998,105.034,15.216,14.61,29.826,73.065,39.154,54.223,-7.2360000000000015,-24.461,46.517,209.913,55.4148,218.943,209.913,180.08700000000005
C27,2005,alive,21.663,33.505,26.161,0.0,0.364,4.711,5.075,7.812,0.0,5.783,5.46,19.225,3.833,33.973,36.7488,5.783,33.973,28.898000000000003,15.769,30.443,24.792,0.0,0.304,5.287999999999999,5.5920000000000005,7.229,0.0,5.096,2.152,16.029,2.687,32.021,27.2634,6.229,32.021,26.429,13.493,25.638,24.219,0.0,0.206,3.955,4.1610000000000005,6.23,0.067,4.956,2.799,11.943,2.84,30.449,25.9494,6.532,30.449,26.288
C28,2007,alive,3052.4,5097.3,5244.4,687.2,87.5,720.1,807.6,2205.2,697.3,2239.1,286.3,1341.6,1138.5,7449.6,9083.4134,4559.1,7449.6,6642.0,3436.7,7413.1,8046.6,1600.7,199.2,909.1,1108.3,3161.6,1291.9,2568.1,541.0,1547.3,1334.0,11208.2,9165.0482,6489.6,11208.2,10099.9,3066.2,6867.8,7302.2,1676.1,180.4,944.6,1125.0,2962.2,1078.2,2228.9,556.3,1267.0,1161.3,10264.4,8259.3429,5945.3,10264.4,9139.4
C29,2007,alive,72.45,101.826,52.967,5.183,6.152,13.264,19.416,40.796,39.025,12.155,9.725,64.173,13.948,93.763,215.2463,20.548,93.763,74.347,58.805,90.543,48.827,7.229,6.2070000000000025,8.953,15.16,35.304,33.255,12.156,5.988,54.372,12.719,84.131,114.7212,22.476,84.131,68.971,48.173,77.872,43.0,5.276,5.382999999999999,6.4670000000000005,11.85,29.965,27.54,9.141,4.268,48.25899999999999,10.008,72.965,85.8803,17.725,72.965,61.115
C30,2004,alive,9387.0,32804.0,17528.0,8779.0,3768.0,2734.0,6502.0,13009.0,0.0,9088.0,-6469.0,-20950.0,3195.0,30537.0,15220.7633,25785.0,30537.0,24035.0,9848.0,47988.0,18422.0,13066.0,4870.0,3858.0,8728.0,16107.0,0.0,8883.0,1865.0,-14558.0,4036.0,34529.0,16075.7933,34032.0,34529.0,25801.0,15903.0,55272.0,19153.0,18812.0,4888.0,5798.0,10686.0,18674.0,0.0,12024.0,-13082.0,-16634.0,5459.0,37827.0,20445.1222,42960.0,37827.0,27141.0
C31,2001,alive,330.588,6607.099,794.082,2550.019,185.211,459.594,644.805,644.805,32.281,824.7339999999997,161.483,1143.73,248.03,1438.8870000000006,4175.5845,4799.666,1438.8870000000006,794.082,277.696,6134.7980000000025,728.5239999999999,2271.165,165.888,456.17800000000005,622.066,622.066,20.683000000000003,774.051,161.061,1094.789,200.395,1350.59,2899.0481,4412.428,1350.59,728.5239999999999,278.681,5952.206,689.622,2393.097,151.641,419.594,571.235,571.235,20.058,491.708,138.94899999999998,1093.49,178.148,1260.857,2065.3725,4223.597,1260.857,689.622
C32,2010,alive,469.276,781.569,348.796,23.424,26.539,26.173,52.712,154.463,69.381,146.82,46.254,473.962,129.855,503.259,654.8292,273.60200000000003,503.259,450.547,426.404,762.549,379.384,30.933000000000003,22.108,45.476000000000006,67.584,167.56,62.7,138.937,33.3,458.18800000000016,151.21,546.944,524.6016,270.959,546.944,479.36,456.802,726.322,493.513,35.98900000000001,20.409,55.455,75.86399999999998,174.03,95.645,159.357,58.592,447.49300000000005,181.961,667.543,495.1033,249.202,667.543,591.679
C33,2001,alive,600.654,1083.731,2438.544,80.816,79.449,-305.591,-226.142,826.0210000000003,532.4069999999998,631.835,-813.078,-948.523,12.630999999999998,3264.565,5.7504,1499.487,3264.565,3490.707000000001,870.197,1995.727,2932.251,771.422,74.689,-226.859,-152.17,1036.304,744.132,766.752,-240.588,-135.445,17.039,3968.555,165.7913,1599.145,3968.555,4120.725,952.927,1975.294,2715.386,602.173,65.495,1.631,67.126,1135.3010000000004,831.387,662.071,17.127,105.143,25.302,3850.687,610.2598,1340.0279999999998,3850.687,3783.561
C34,2012,alive,22.16800000000001,24.719,81.40100000000002,0.0,0.6459999999999999,0.514,1.16,24.389,0.0,5.2970000000000015,0.33,-8.004,16.095,105.79,16.1264,5.5710000000000015,105.79,104.63,23.64,26.192,82.102,0.0,0.632,4.105,4.737,27.016,0.0,7.452000000000001,3.294,-8.334,18.016,109.118,28.0841,7.859,109.118,104.381,22.396,23.612,82.051,0.0,0.86,-0.7290000000000001,0.131,24.637,0.0,8.023,-0.48,-11.628,17.425,106.688,12.0666,9.143,106.688,106.557
C35,2013,alive,123.091,215.645,91.901,0.0,8.443999999999999,17.439,25.88300000000001,66.473,34.928000000000004,15.628,15.056,157.32399999999996,32.059,158.374,303.9321,25.907,158.374,132.491,104.846,213.787,87.50299999999999,0.0,9.456,10.328,19.784,59.843,36.44300000000001,15.905,8.613999999999999,140.1,29.521,147.346,273.3416,28.284,147.346,127.562,138.486,252.645,102.771,20.0,9.528,21.65,31.178,76.399,33.733000000000004,28.387,16.401,133.909,30.931,179.17,316.625,57.541,179.17,147.99200000000005
C36,2007,alive,1250.488,2350.533,1646.9070000000006,11.333,78.862,108.123,186.985,548.206,364.151,898.954,-162.822,755.5219999999997,646.36,2195.113,2160.9324,967.995,2195.113,2008.128,1153.021,2408.9210000000007,1610.814,290.378,80.911,86.17299999999999,167.084,535.279,388.296,567.886,-34.29,874.041,557.8340000000002,2146.093,1454.6643,901.646,2146.093,1979.009,1076.857,2311.027,1445.944,275.60400000000004,84.00200000000002,106.108,190.11,515.29,353.402,435.616,38.858,890.308,471.097,1961.234,1794.2469,760.475,1961.234,1771.124
C37,2007,alive,130.687,320.409,357.237,90.0,18.512,6.507999999999999,25.02,72.72,48.547,65.79,3.939,137.106,63.803,429.957,158.1236,168.946,429.957,404.937,118.049,336.305,348.657,85.3,19.424,6.348,25.772,77.078,50.902,86.26799999999999,3.633,135.438,56.874,425.735,247.2686,188.759,425.735,399.963,109.915,331.42800000000005,349.435,85.096,18.901,2.829,21.73,68.922,43.785,81.418,0.248,138.252,58.151,418.357,160.4595,181.88,418.357,396.627
C38,2007,alive,2024.5,17155.0,9839.9,9140.3,996.2,2867.5,3863.7,6845.8,723.5,2303.8,2115.3,17001.7,805.2,16685.7,37752.842,14003.4,16685.7,12822.0,1829.5,16377.2,9176.3,7653.5,988.7,2719.6,3708.3,6540.8,694.9,2246.1,1965.2,15510.2,720.2,15717.1,37692.12,12438.5,15717.1,12008.8,1758.7,16555.0,8600.5,7972.1,979.0,2726.0,3705.0,6435.2,654.5,1982.6,1839.2,15531.8,681.4,15035.7,33409.992,13211.7,15035.7,11330.7
C39,2006,alive,2.165,36.487,6.75,9.0,1.018,1.4880000000000002,2.506,2.506,0.313,8.58,0.649,8.255,1.844,9.256,26.2975,25.092,9.256,6.75,2.178,32.742,6.6670000000000025,9.0,0.888,1.5,2.388,2.388,0.387,5.424,0.659,8.741,1.746,9.055,29.8329,21.013,9.055,6.6670000000000025,2.407,30.228,7.654,9.0,0.7490000000000001,1.463,2.212,2.212,0.313,3.054,0.511,9.211,1.899,9.866,32.7455,18.041,9.866,7.654
C40,2006,alive,844.2180000000003,1235.454,871.425,372.48800000000006,29.901,85.42399999999998,115.325,523.231,384.983,283.5420000000001,37.688,-32.602,401.56300000000016,1394.656,651.7707,695.817,1394.656,1279.331,778.216,1190.576,827.653,379.72,34.302,74.154,108.456,485.945,359.028,308.788,-211.561,-87.90299999999998,380.442,1313.598,474.159,736.552,1313.598,1205.142,773.1560000000003,1456.365,772.457,349.347,28.221,81.02,109.241,428.27,325.125,349.175,38.941,142.108,369.914,1200.727,743.1205,773.4989999999997,1200.727,1091.486
C41,2014,alive,2.7030000000000003,21.68,3.215,0.51,0.69,-1.097,-0.407,1.061,1.93,11.872,-4.037,-22.28,0.3829999999999999,4.276,10.5813,12.382,4.276,4.683,5.692,27.701,15.619000000000002,1.0,0.8759999999999999,-2.454,-1.578,1.22,2.604,13.298,-2.518,-18.175,0.737,16.839000000000002,20.1548,14.298,16.839000000000002,18.417,4.836,27.171,3.917,0.1009999999999999,0.934,-5.195,-4.261,0.568,3.202,12.333,-5.228,-13.130999999999998,0.472,4.485,10.8629,12.434,4.485,8.746
C42,2013,alive,87.34200000000001,375.254,62.127,5.0,33.174,32.358000000000004,65.532,86.896,5.295,37.227,18.496,305.803,25.753,149.023,459.0008,59.79600000000001,149.023,83.491,64.577,336.707,56.667,7.5,26.904,24.69400000000001,51.598,76.596,4.074,28.136,39.061,287.334,21.996,133.263,362.4187,39.731,133.263,81.665,54.852,282.996,47.233,2.0,20.703000000000007,22.834,43.537,57.547,2.908,18.334,31.746,249.009,14.205,104.78,2406.0002,24.358,104.78,61.243
C43,2012,alive,47.312,90.04700000000004,266.211,1.228,4.953,31.575,36.528,172.827,19.689,32.978,18.919,43.569,4.882,439.038,276.2979,43.853,439.038,402.51,91.124,135.063,263.569,1.228,4.975,26.122,31.097,165.91400000000004,19.008,31.085,17.005,89.134,6.43,429.483,276.4207,43.304,429.483,398.386,82.081,127.884,252.199,1.228,5.307,29.573,34.88,164.866,18.176,31.019,18.085,81.773,4.58,417.065,260.7825,43.357,417.065,382.185
C44,2005,alive,1561.3,4606.0,2662.5,21.5,141.0,102.2,243.2,895.9,514.5,423.4,112.1,-869.4,347.0,3558.4,63.0292,5903.4,3558.4,3315.2,1482.2,4609.4,2615.2,29.2,151.0,96.1,247.1,882.1,529.2,488.1,-80.8,-975.8,343.1,3497.3,102.4859,6011.8,3497.3,3250.2,1358.8,4647.8,2423.8,39.4,173.6,61.0,234.6,835.2,454.4,415.5,-39.3,-894.5,315.4,3259.0,44.3292,5968.3,3259.0,3024.4
C45,2004,alive,12.639,16.807000000000002,26.902,0.0,0.518,-2.207,-1.689,10.314,3.377,7.372999999999997,-5.327000000000001,-13.986,6.33,37.216,11.9669,7.372999999999997,37.216,38.905,18.985,29.835,33.02,2.313,1.1909999999999998,-2.154,-0.963,12.089,8.144,13.308,-5.401,-9.191,8.399,45.109,14.0209,15.824000000000002,45.109,46.072,19.449,33.065,32.031,2.484,1.029,-6.358,-5.329,9.448,9.868,11.017,-7.564,-3.661,7.417000000000002,41.479,9.0636,13.672,41.479,46.808
C46,2009,alive,31.238000000000003,67.637,61.289,8.199,3.044,6.77,9.814,37.606,2.985,13.358,2.867,22.034,21.297,98.895,68.928,23.381,98.895,89.081,35.118,71.079,52.39100000000001,14.276,2.727,6.193,8.92,34.446,2.919,14.852,2.844,19.167,21.493,86.837,67.06,30.403,86.837,77.917,28.926,54.846,45.1,7.01,2.583,5.847,8.43,29.435,2.007,10.313,3.0860000000000003,16.323,20.628,74.535,81.37899999999998,17.897000000000006,74.535,66.105
C47,2007,failed,7.436,14.165,15.279000000000002,4.892,1.34,-6.994,-5.654,6.52,3.267,11.041,-9.769,-63.158,2.3480000000000003,21.799,1.3248,15.933,21.799,27.45300000000001,7.097,13.998,19.229,3.745,1.357,-6.602,-5.245,8.177,3.405,6.061,-7.607,-53.389,2.659,27.406,31.0377,9.806,27.406,32.651,14.038,21.989,17.343,3.418,1.238,-4.097,-2.859,10.618,4.705,7.063,-5.336,-45.782,2.679,27.961,51.0982,10.481,27.961,30.82
C48,2005,alive,637.486,962.987,1043.326,199.926,23.322,105.979,129.30100000000002,251.875,417.048,327.788,56.53100000000001,-14.914,178.826,1295.201,982.224,534.8380000000002,1295.201,1165.9,607.2330000000002,749.4760000000001,956.567,201.99,15.512,76.34,91.852,207.436,328.129,189.833,43.169,-68.508,144.08700000000005,1164.003,747.6276,400.475,1164.003,1072.151,512.139,691.192,829.184,203.411,14.515999999999998,69.455,83.971,184.151,327.86,181.806,20.778,-109.949,139.279,1013.335,495.3429,391.108,1013.335,929.364
C49,2002,alive,104.873,247.359,205.606,97.529,20.808000000000003,2.636,23.44400000000001,42.492,59.736,60.733,-61.887,12.53,27.66,248.098,42.4936,187.88,248.098,224.654,123.046,331.746,247.245,141.314,23.807,9.296,33.103,55.051,71.634,52.793,-22.6,69.725,35.024,302.296,55.4346,215.235,302.296,269.193,159.359,373.804,276.805,143.81,23.99,31.138,55.128,77.68,82.015,64.03699999999999,14.9,97.558,45.645,354.485,133.5701,227.006,354.485,299.357
C50,2014,failed,10.981,12.249,2.813,0.0,0.126,-7.148,-7.022,2.515,2.329,1.587,-7.143,-52.772,0.375,5.327999999999999,25.647,1.587,5.327999999999999,12.35,13.02,14.34,2.13,0.0,0.132,-8.273,-8.141,1.544,2.446,2.143,-8.252,-45.629,0.924,3.674,51.6526,2.196,3.674,11.815,13.949000000000002,15.366,1.365,0.0,0.152,-8.014,-7.862,0.706,2.404,0.742,-7.961,-37.377,0.322,2.071,51.4727,0.8690000000000001,2.071,9.933
C51,2004,alive,13.509,33.272,67.828,2.151,2.481,-1.974,0.507,5.2810000000000015,6.066,17.912,-7.582999999999997,10.438,6.527,73.109,9.2045,21.458,73.109,72.602,12.496,38.478,67.997,10.637,2.475,-3.878,-1.403,3.694,5.896,7.364,-3.091,18.021,5.405,71.691,11.2145,19.129,71.691,73.094,15.232,41.808,63.50100000000001,7.377000000000002,2.442,2.05,4.492,10.271,6.615,8.775,1.899,21.112,5.549,73.77199999999998,14.6952,19.416,73.77199999999998,69.28
