cik,fyear,status_label,3_current_assets,3_total_assets,3_cost_of_goods_sold,3_total_long_term_debt,3_depreciation_and_amortization,3_ebit,3_ebitda,3_gross_profit,3_inventory,3_total_current_liabilities,3_net_income,3_retained_earnings,3_total_receivables,3_total_revenue,3_market_value,3_total_liabilities,3_net_sales,3_total_operating_expenses,2_current_assets,2_total_assets,2_cost_of_goods_sold,2_total_long_term_debt,2_depreciation_and_amortization,2_ebit,2_ebitda,2_gross_profit,2_inventory,2_total_current_liabilities,2_net_income,2_retained_earnings,2_total_receivables,2_total_revenue,2_market_value,2_total_liabilities,2_net_sales,2_total_operating_expenses,1_current_assets,1_total_assets,1_cost_of_goods_sold,1_total_long_term_debt,1_depreciation_and_amortization,1_ebit,1_ebitda,1_gross_profit,1_inventory,1_total_current_liabilities,1_net_income,1_retained_earnings,1_total_receivables,1_total_revenue,1_market_value,1_total_liabilities,1_net_sales,1_total_operating_expenses
C2527,2004,alive,75.2,91.18,51.16,0.071,6.2070000000000025,-4.962,1.245,34.935,0.0,18.44,-4.319,-258.72,18.491,86.095,111.1149,21.142,86.095,84.85,78.259,97.264,46.773,0.698,8.012,-2.415,5.597,38.458,0.0,20.951,-71.178,-254.383,17.599,85.23100000000002,166.98,24.042,85.23100000000002,79.634,77.90100000000002,165.56400000000005,40.96,1.078,7.251,-8.771,-1.52,35.418,0.0,24.353,-11.358,-184.77,18.409,76.378,228.80900000000003,27.907,76.378,77.898
C2528,2006,alive,45.624,137.56799999999998,13.683,0.05,8.448,-11.155,-2.707,50.844,0.0,50.984,-7.716,-52.106,15.654000000000002,64.527,243.5657,51.815,64.527,67.234,42.333,87.743,5.263,0.09,2.66,5.757999999999999,8.418,34.189,0.0,17.641,9.659,-44.506,7.842,39.452,333.6101,17.927,39.452,31.034,26.717,37.618,2.306,0.1,1.009,1.642,2.651,20.296,0.0,9.053,1.768,-53.987,3.704,22.602,194.2188,9.473,22.602,19.951
C2529,2005,alive,142.179,246.286,41.99800000000001,0.0,6.095,-7.165,-1.07,50.858,6.0870000000000015,32.356,27.911,-79.168,12.475,92.856,319.8354,51.93,92.856,93.926,141.915,152.21,33.567,0.0,1.286,9.831,11.117,41.667,3.593,22.542,9.221,-107.18,7.96,75.234,378.7026,27.374,75.234,64.117,128.393,139.016,33.803000000000004,0.0,2.168,0.971,3.139,29.56,2.425,20.273,1.662,-116.222,7.109,63.363,714.21,26.888,63.363,60.224
C2530,2007,failed,21.116,41.75100000000001,27.351,2.352,4.561,-37.126,-32.565,2.037,5.072,16.467,-49.874,-239.144,8.488,29.388,15.9976,18.827,29.388,61.953,37.679,69.89,41.668,8.167,2.153,-28.72300000000001,-26.57,3.425,4.784,14.814,-53.355,-189.278,12.061,45.093,141.9912,23.149,45.093,71.663,60.224,111.146,38.697,9.225,2.1790000000000003,-16.885,-14.706,6.283,3.093,16.156,-16.244,-135.97299999999998,10.888,44.98,281.8396,26.09,44.98,59.68600000000001
C2531,2012,alive,27.337,290.068,164.195,98.0,25.812,-152.278,-126.466,-114.255,0.0,57.512,-160.868,-294.7870000000001,9.54,49.94,80.3839,163.532,49.94,176.40599999999995,41.981,334.5030000000001,13.751,30.0,15.75,-0.631,15.119000000000002,26.484,0.0,59.871,-1.764,-133.91899999999998,10.706,40.235,205.7683,99.309,40.235,25.116,22.893,247.352,11.703,0.0,9.702,6.725,16.427,31.065,0.0,25.666,-12.46,-132.155,14.263,42.768,275.9697,39.961,42.768,26.341
C2532,2007,failed,25.776,30.483,32.039,7.155,1.018,-32.046,-31.028,-31.028,0.0,7.24,-30.455,-195.599,0.0,1.011,128.9317,14.474,1.011,32.039,48.699,54.161,29.863000000000003,7.447999999999999,1.521,-30.233,-28.712,-28.712,0.0,8.742,-28.801,-168.34599999999998,0.0,1.151,191.8004,17.113,1.151,29.863000000000003,36.311,42.981,26.21,7.784,3.024,-27.367,-24.343000000000004,-24.343000000000004,0.0,6.782,-26.103,-143.63299999999995,0.0,1.867,195.7647,15.97,1.867,26.21
C2533,2007,alive,71.83,77.867,53.199,0.6990000000000001,2.246,-32.738,-30.492,-30.492,0.0,17.608,-28.658,-188.935,1.301,22.707,153.3312,18.307,22.707,53.199,65.197,71.187,42.076,0.899,2.326,-30.896,-28.57,-28.57,0.0,22.935,-29.469,-160.297,1.152,13.505999999999998,196.4145,29.433000000000003,13.505999999999998,42.076,58.688,65.997,41.90600000000001,1.785,2.532,-31.028,-28.496,-28.496,0.0,14.23,-29.637,-131.006,3.319,13.41,130.4117,24.891,13.41,41.90600000000001
C2534,2012,alive,1.719,8.469,0.669,1.939,1.016,-3.939,-2.923,-0.138,0.0,4.718999999999999,-9.992,-86.44200000000002,1.449,0.531,3.9618,6.725,0.531,3.454,3.734,20.766,11.956,3.998,1.272,-3.387,-2.115,2.903,0.513,4.97,-4.624,-76.399,2.603,14.859000000000002,14.4384,9.959,14.859000000000002,16.974,3.236,24.654,9.946,5.358,1.527,-5.651,-4.124,3.15,0.215,2.92,-19.131,-71.681,1.796,13.095999999999998,20.8566,10.639,13.095999999999998,17.22
C2535,2007,alive,406.853,1007.03,610.5,150.0,79.286,242.55900000000003,321.845,516.507,102.584,116.815,146.411,362.101,252.313,1127.007,1725.5908,351.50199999999984,1127.007,805.1619999999997,342.98,825.2739999999999,472.692,150.0,62.713,194.958,257.671,422.062,78.127,124.886,115.003,220.745,204.755,894.7539999999997,1468.3929999999998,332.516,894.7539999999997,637.0830000000002,234.178,622.775,357.787,165.0,56.639,94.714,151.35299999999995,276.574,55.142,74.093,48.953,103.835,152.34799999999996,634.361,953.5641,283.825,634.361,483.008
C2536,2007,alive,67.744,101.35,2.984,0.0,4.263,2.842,7.105,68.182,1.308,28.614,13.092,8.672,15.513,71.166,152.8242,31.358,71.166,64.061,77.949,83.809,0.516,0.0,2.651,2.377,5.0280000000000005,62.027,0.0,25.69400000000001,3.175,-4.584,10.323,62.543,168.1749,25.69400000000001,62.543,57.515,72.10300000000002,78.637,0.528,0.0,2.747,5.192,7.939,61.407,0.0,24.791,6.553999999999999,-7.771,12.632,61.935,224.349,24.791,61.935,53.996
C2537,2010,alive,30.4,32.474000000000004,13.112,0.0,0.89,-7.997999999999997,-7.108,3.604,3.719,3.828,-8.092,-289.013,2.6,16.715999999999998,22.4192,4.186,16.715999999999998,23.824,75.141,77.116,14.012,0.003,0.779,-8.532,-7.752999999999999,5.49,4.879,4.399,6.945,-280.905,3.009,19.502,23.6314,5.164,19.502,27.255,65.30199999999999,70.34,40.294,0.019,2.513,-9.904,-7.391,17.961,14.454,8.226,-14.751,-287.823,4.762,58.255,22.428,8.299,58.255,65.646
